Liste des FNB Canada Application Wealthsimple;;;
;;;
;Core Cdn ST Crp Bd Ix ETF (NEOE:XSH); 19,08  $ ;
;Muehlbauer Holding AG (XFRA:MUB); 41,40  $ ;
;BMO EW U.S. Banks Idx ETF (XTSE:ZBK); 39,63  $ ;
;iShares Gold Bullion ETF (NEOE:CGL.C); 35,09  $ ;
;CI Canadian REIT ETFFd (XTSE:RIT); 15,71  $ ;
;Hrvst Eql Wght Gl Util Inc ETF (NEOE:HUTL); 17,52  $ ;
;iShares S&P/TSX Cdn DA Idx ETF (NEOE:CDZ); 35,43  $ ;
;FTSE Dev x NA HDY Idx ETF (NEOE:VIDY); 33,76  $ ;
;BMO Eur Hi Div Cov Hdg CAD ETF (NEOE:ZWE); 21,43  $ ;
;CIF (XHKG:1226); 0,68  $ ;
;PIMCO Income Strategy (XNYS:PFL); 8,51  $ ;
;Global Base Mtls Idx ETF (NEOE:XBM); 20,45  $ ;
;Evolve US BksEnhncdYld ETF Hgd (NEOE:CALL); 14,28  $ ;
;Ready Cap (XNYS:RCD); 25,29  $ ;
;Premier (OTCM:PDIV); 0,97  $ ;
;ZJK Industrial (XNAS:ZJK); 9,29  $ ;
;FTSE Dev All Cap ex NA In ETF (NEOE:VI); 41,78  $ ;
;CI Gold+Giants CvrCallETF (NEOE:CGXF); 12,17  $ ;
;Vanguard US Div App Idx ETF (NEOE:VGG); 98,55  $ ;
;VICONSHIP (XSTC:VSC); 17 850,00  $ ;
;Xstate (XASX:XST); 0,01  $ ;
;iShares S&P/TSX Comp Index ETF (XTSE:XMD); 39,03  $ ;
;iShares Dvsfd Mthly Inc ETF (NEOE:XTR); 11,38  $ ;
;TD International Eq Idx ETF (XTSE:TPE); 23,92  $ ;
;BMO MSCI China Slctn EqIdx ETF (XTSE:ZCH); 18,32  $ ;
;Conservative Inc ETF Port (NEOE:VCIP); 26,52  $ ;
;Mackenzie Core Plus Cdn FI ETF (NEOE:MKB); 19,37  $ ;
;RBC Canadian Bank Yld Idx ETF (XTSE:RBNK); 28,39  $ ;
;BMO Long Provincial Bd Idx ETF (NEOE:ZPL); 12,48  $ ;
;Gl ex-US Aggrt Bd Idx ETF Hgd (NEOE:VBG); 23,02  $ ;
;iShs MSCI Glb Qual Div Indx (NEOE:XDG); 28,14  $ ;
;iSh US Mid Cd-H (XTSE:XMH); 28,76  $ ;
;Vanguard Cdn Corp Bd Idx ETF (XTSE:VCB); 24,22  $ ;
;Lifecare (XOSL:LIFE); 13,00  $ ;
;ZHY Intl Hldg (XFRA:ZHY); 0,16  $ ;
;BMO AC World High Qual Ind ETF (NEOE:ZGQ); 72,89  $ ;
;iShares Core MSCI EAFE IMI (NEOE:XFH); 34,19  $ ;
;BMO Growth ETF (NEOE:ZGRO); 47,29  $ ;
;iShares MSCI World Index ETF (NEOE:XWD); 99,79  $ ;
;BMO Europe HiDiv Cv Cll Sr ETF (NEOE:ZWP); 19,02  $ ;
;BMO MidUS IG Corp Bd Hgd IxETF (NEOE:ZMU); 12,56  $ ;
;"Vanguard Tot Bd;ETF (XNAS:BND)"; 72,26  $ ;
;CLEVELAND-CLIFFS INC. (XNYS:CLF); 12,02  $ ;
;iShares MSCI Em Mkts Idx ETF (NEOE:XEM); 34,95  $ ;
;Zeo Energy (XNAS:ZEO); 2,24  $ ;
;BMO Mid Corp Bond Index ETF (NEOE:ZCM); 15,62  $ ;
;BMO Low Vol US Eq Fd Sr ETF (NEOE:ZLU); 56,00  $ ;
;BMO MSCI India Slctn EqIdx ETF (NEOE:ZID); 46,39  $ ;
;BMO Mid Federal Bond Index ETF (NEOE:ZFM); 14,77  $ ;
;Bankfirst (OTCM:BFCC); 40,75  $ ;
;iShares US IG Crp Bd Idx (C-H) (NEOE:XIG); 19,66  $ ;
;BMO Floating Rate Hi Yield ETF (NEOE:ZFH); 15,13  $ ;
;Close The Loop (XASX:CLG); 0,12  $ ;
;Voss Veksel og Landmandsbank ASA (XOSL:VVL); 320,00  $ ;
;BMO DJIA Hedged to CAD Idx ETF (NEOE:ZDJ); 68,32  $ ;
;BMO US Dividend ETF (NEOE:ZDY); 47,83  $ ;
;FTSE Dev AP AC ETF (XTSE:VA); 40,36  $ ;
;iShares S&P/TSX CapMat Idx ETF (NEOE:XMA); 23,87  $ ;
;Zinc of Ireland (XASX:ZMI); 0,01  $ ;
;DXC TECHNOLOGY COMPANY (XNYS:DXC); 21,32  $ ;
;WisdomTree:Em Curr Str (ARCX:CEW); 17,56  $ ;
;iShares S&P/TSX CIT Idx ETF (NEOE:XIT); 77,11  $ ;
;BMO Ultra Shrt-Term Bd Sr ETFR (NEOE:ZST.L); 60,79  $ ;
;BMO Glo Cons Stpl Hdgd to CAD (NEOE:STPL); 23,65  $ ;
;FIERA CAPITAL CORPORATION (XFRA:ZFS); 5,05  $ ;
